sectors,n_sectors,n_favored,p_one_sided,median_gap_diff_pts,rank,contains_paper_core
Crypto+Data/AI+Defense+FinTech+Semiconductors,5,9,0.08883291466407589,13.268421052631584,200,False
AI+Data/AI+Defense+Energy+Quantum,5,9,0.08883291466407589,9.268421052631581,201,True
AI+Crypto+Defense+Logistics+Semiconductors,5,8,0.08883291466407589,11.035651793525814,202,False
AI+Defense+Energy+Quantum+Robotics+Semiconductors,6,9,0.08883291466407589,9.382309941520466,203,False
Data/AI+Semiconductors,2,3,0.09280351102334528,26.700000000000003,204,False
Defense+Robotics,2,3,0.09280351102334528,10.82963692038496,205,False
AI+Data/AI+Defense+Energy+FinTech+Quantum+SaaS+Semiconductors,8,14,0.09280351102334528,9.736842105263154,206,True
AI+Data/AI+Defense+Energy+FinTech+Quantum,6,12,0.0936809094505005,9.736842105263154,207,True
Defense+Energy+Robotics+Semiconductors,4,5,0.0936809094505005,10.82963692038496,208,False
AI+Defense+Energy+FinTech+Quantum+Robotics+Semiconductors,7,12,0.0936809094505005,9.736842105263154,209,False
Data/AI+Defense+Energy,3,5,0.0936809094505005,10.715748031496076,210,False
AI+Data/AI+Defense+FinTech+Robotics+SaaS,6,12,0.0936809094505005,20.333333333333325,211,True
Data/AI+Defense+Robotics+SaaS+Semiconductors,5,7,0.09370611932594286,11.18416908412765,212,False
Data/AI+Defense+Energy+Quantum+Semiconductors,5,7,0.09370611932594286,10.715748031496076,213,False
AI+Crypto+Data/AI+Defense+Robotics+SaaS+Semiconductors,7,11,0.0955468539825613,15.03508771929824,214,True
AI+Defense+Quantum,3,6,0.0955468539825613,11.035651793525814,215,False
Data/AI+Defense+Energy+FinTech+Logistics+Robotics+Semiconductors,7,11,0.0955468539825613,15.657142857142858,216,False
AI+Data/AI+Defense+Logistics+Quantum+SaaS+Semiconductors,7,11,0.0955468539825613,14.566666666666666,217,True
AI+Crypto+Data/AI+Defense+Energy+Quantum+Semiconductors,7,11,0.0955468539825613,9.268421052631581,218,True
AI+Data/AI+Defense+Energy+FinTech+Quantum+Robotics,7,13,0.09630151725499331,25.043421052631572,219,True
AI+Defense+FinTech+Logistics,4,9,0.0968287947595155,14.680555555555552,220,False
Data/AI+Defense+Logistics+Quantum+Robotics+Semiconductors,6,8,0.0968287947595155,2.2078740157480348,221,False
Data/AI+Defense+FinTech+Logistics+Quantum+Semiconductors,6,10,0.10214063051984873,10.80000000000001,222,False
AI+Defense+Energy+Robotics,4,7,0.10214063051984873,9.382309941520466,223,False
Defense+FinTech+Logistics+Semiconductors,4,7,0.10214063051984873,12.913888888888897,224,False
Crypto+Data/AI+Defense+FinTech+Robotics+Semiconductors,6,10,0.10214063051984873,11.736842105263156,225,False
AI+Data/AI+Energy+Semiconductors,4,7,0.10214063051984873,9.268421052631581,226,False
AI+Data/AI+Defense+Energy+Quantum+Robotics,6,10,0.10214063051984873,7.4368421052631515,227,True
AI+Crypto+Data/AI+Defense+Energy+FinTech+Logistics+Quantum+Semiconductors,9,15,0.10241999042788469,26.85454545454546,228,True
AI+Crypto+Data/AI+Defense+FinTech+Logistics+Robotics+SaaS+Semiconductors,9,15,0.10241999042788469,23.52380952380952,229,True
AI+Crypto+Data/AI+Defense+Energy+Quantum+Robotics+Semiconductors,8,12,0.10281260991156776,7.4368421052631515,230,True
AI+Data/AI+Defense+Logistics+Quantum+Robotics+SaaS+Semiconductors,8,12,0.10281260991156776,18.033333333333324,231,True
Data/AI+Defense+Logistics+Robotics,4,6,0.10436454880770463,2.2078740157480348,232,False
AI+Crypto+Defense+FinTech+Logistics+Semiconductors,6,11,0.10436454880770463,14.680555555555552,233,False
Data/AI+Defense+FinTech+SaaS+Semiconductors,5,9,0.10534091470521884,13.268421052631584,234,False
AI+Defense+Logistics+SaaS+Semiconductors,5,8,0.10534091470521884,11.035651793525814,235,False
AI+Crypto+Defense+Energy+Semiconductors,5,8,0.10534091470521884,11.035651793525814,236,False
AI+Crypto+Defense+Logistics+Robotics+Semiconductors,6,9,0.10534091470521884,14.680555555555552,237,False
AI+Crypto+Data/AI+Defense+Logistics,5,9,0.10534091470521884,14.566666666666666,238,True
AI+Data/AI+Logistics+Robotics+Semiconductors,5,8,0.10534091470521884,18.033333333333324,239,False
AI+Defense+FinTech+Logistics+Robotics,5,10,0.1111143493204132,20.333333333333325,240,False
Crypto+Data/AI+Defense+Logistics+Semiconductors,5,7,0.1111143493204132,10.715748031496076,241,False
AI+Data/AI+FinTech+Logistics+Semiconductors,5,10,0.1111143493204132,20.333333333333325,242,False
